1	Tallinn	塔林
2	Moscow	莫斯科
3	Saint Petersburg	圣彼得堡
5	Yerevan	埃里温
7	Tyumen	秋明
8	Nizhny Novgorod	下诺夫哥罗德
9	Riga	里加
10	Helsinki	赫尔辛基
11	Stockholm	斯德哥尔摩
13	Jönköping	延雪平
14	Gothenburg	哥德堡
15	Högsjö	赫格舍
16	Linköping	林雪平
18	Huskvarna	胡斯克瓦纳
19	Arjeplog	阿尔耶普卢格
20	Tampere	坦佩雷
23	Shanghai	上海
24	Beijing	北京
25	Taipei	台北
26	Warsaw	华沙
27	Tokyo	东京
28	Kyoto	京都
29	Osaka	大阪
30	Seoul	首尔
31	Podyuga	波久加
32	Rybinsk	雷宾斯克
33	Dubna	杜布纳
34	Gatchina	加特契纳
35	Elektrostal	埃列克特罗斯塔尔
37	Baku	巴库
38	Vilnius	维尔纽斯
39	Minsk	明斯克
40	Budapest	布达佩斯
41	Tashkent	塔什干
43	Haapsalu	哈普萨卢
44	Zhigulyovsk	日古廖夫斯克
45	Kobe	神户
46	Shiga	滋贺
47	Yokohama	横滨
49	Malmö	马尔默
50	Uppsala	乌普萨拉
52	Voronezh	沃罗涅日
53	Volgograd	伏尔加格勒
54	Tomsk	托木斯克
58	Lund	隆德
59	Härnösand	海讷桑德
61	Prague	布拉格
62	Hradec Králové	赫拉德茨-克拉洛韦
63	Brno	布尔诺
66	Arkhangelsk	阿尔汉格尔斯克
68	Kiev	基辅
69	Zugres	祖赫雷斯
71	Kharkiv	哈尔科夫
72	Zjoltye Vody	若夫季沃季
73	Saue	绍埃
74	Amagasaki	尼崎
75	Omiya	大宫
76	Fuji	富士
77	Viksna	维克斯那
79	Aichi	爱知
80	Kaohsiung	高雄
81	Taichung	台中
82	Tainan	台南
84	?	　
85	?	　
86	Tianjin	天津
87	Shizuoka	静冈
88	Aomori	青森
89	Fukuoka	福冈
90	Hiroshima	广岛
91	Hangzhou	浙江
92	Haining	浙江
96	Qinhuangdao	河北
97	Tieling	辽宁
99	Hasuta	莲田
100	Kawasaki	川崎
101	Xiamen	福建
102	Tartu	塔尔图
103	Délegyháza	代莱吉哈佐
104	?	　
106	Kameoka	龟冈
109	Hirakata	枚方
110	Yamaguchi	山口
112	Elets	叶列茨
114	Arao	荒尾
115	Fushun	辽宁
116	Hakone	箱根
117	Ningbo	浙江
118	Daejeon	大田
119	Incheon	仁川
